mits|json
"mits in de FGR Getijdengebied en mits gelegen in het verlengde van een rivier waarvan het water een sterke en continue invloed op het habitattype heeft, voorzover gelegen onder de gemiddelde hoogwaterlijn; potentieel"|"{
    ""type"": ""EnCriteria"",
    ""sub_criteria"": [
        {
            ""type"": ""FGRCriterium"",
            ""fgrtype"": ""Getijdengebied""
        },
        {
            ""type"": ""Placeholder""
        }
    ]
}"
mits in de slikkige en fijnzandige delen van FGR Getijdengebied of FGR Noordzee voorzover gelegen tussen de op Lowest Astronomical Tide gebaseerde laagwaterlijn en de gemiddelde hoogwaterlijn, en mits geen onderdeel van H1130 en H1160|"{
    ""type"": ""EnCriteria"",
    ""sub_criteria"": [
        {
            ""type"": ""OfCriteria"",
            ""sub_criteria"": [
                {
                    ""type"": ""FGRCriterium"",
                    ""fgrtype"": ""Getijdengebied""
                },
                {
                    ""type"": ""FGRCriterium"",
                    ""fgrtype"": ""Noordzee""
                }
            ]
        },
        {
            ""type"": ""Placeholder""
        }
    ]
}"
"mits in de FGR Getijdengebied en mits in een inham met gedempt getij en geen sterke invloed van rivierwater; potentieel"|"{
    ""type"": ""EnCriteria"",
    ""sub_criteria"": [
        {
            ""type"": ""FGRCriterium"",
            ""fgrtype"": ""Getijdengebied""
        },
        {
            ""type"": ""Placeholder""
        }
    ]
}"
mits in de FGR Getijdengebied en mits gelegen in het verlengde van een rivier waarvan het water een sterke en continue invloed op het habitattype heeft, voorzover gelegen onder de gemiddelde hoogwaterlijn|"{
    ""type"": ""EnCriteria"",
    ""sub_criteria"": [
        {
            ""type"": ""FGRCriterium"",
            ""fgrtype"": ""Getijdengebied""
        },
        {
            ""type"": ""Placeholder""
        }
    ]
}"
mits in de FGR Getijdengebied en mits in een inham met gedempt getij en geen sterke invloed van rivierwater|"{
    ""type"": ""EnCriteria"",
    ""sub_criteria"": [
        {
            ""type"": ""FGRCriterium"",
            ""fgrtype"": ""Getijdengebied""
        },
        {
            ""type"": ""Placeholder""
        }
    ]
}"
mits niet in fijnschalig mozaÃ¯ek met goede zelfstandige vegetaties van H3130|"{
    ""type"": ""Placeholder""
}"
mits in vochtige duinvalleien|"{
    ""type"": ""Placeholder""
}"
mits niet in vochtige duinvalleien|"{
    ""type"": ""Placeholder""
}"
mits in vlakvormige wateren, of in lijnvormige wateren voorzover de begroeiing aansluit bij die van het aangrenzende vlakvormige water|"{
    ""type"": ""Placeholder""
}"
mits in beken of riviertjes en mits met waterranonkel- of sterrenkroossoorten|"{
    ""type"": ""Placeholder""
}"
mits in rivieren of nevengeul|"{
    ""type"": ""Placeholder""
}"
mits in vlakvormige wateren, of in lijnvormige wateren voorzover de begroeiing aansluit bij die van het aangrenzende vlakvormige water, en minstens Ã©Ã©n van de volgende plantensoorten aanwezig is: doorgroeid fonteinkruid, gegolfd fonteinkruid, glanzig fonteinkruid of langstengelig fonteinkruid|"{
    ""type"": ""Placeholder""
}"
mits in beken of riviertjes en mits met waterrankel- of sterrenkroossoorten|"{
    ""type"": ""Placeholder""
}"
mits in beken of riviertjes|"{
    ""type"": ""Placeholder""
}"
mits niet in lijnvormige wateren|"{
    ""type"": ""Placeholder""
}"
mits niet in vochtige duinvalleien en niet in lijnvormige wateren|"{
    ""type"": ""Placeholder""
}"
mits in combinatie met andere vegetaties van H3130 en niet in lijnvormige wateren|"{
    ""type"": ""Placeholder""
}"
mits in vennen en in combinatie met andere vegetaties van H3160|"{
    ""type"": ""Placeholder""
}"
mits het Hoogveenmos-verbond aanwezig is, het onderdeel van een hoogveenlandschap is en een acrotelm aanwezig is|"{
    ""type"": ""Placeholder""
}"
mits in herstellend hoogveen|"{
    ""type"": ""Placeholder""
}"
mits niet in mozaÃ¯ek met vegetaties van H3110 en mits geen onderdeel van H7120 en niet in lijnvormige wateren|"{
    ""type"": ""Placeholder""
}"
mits in vennen en niet in mozaÃ¯ek met vegetaties van H3130|"{
    ""type"": ""Placeholder""
}"
mits in het open water van vochtige duinvalleien|"{
    ""type"": ""Placeholder""
}"
mits tussen hoge moerasplanten in vochtige duinvalleien|"{
    ""type"": ""Placeholder""
}"
mits op oevers van rivieren of nevengeulen|"{
    ""type"": ""Placeholder""
}"
mits geen onderdeel van H7110_A|"{
    ""type"": ""Placeholder""
}"
mits in het kustgebied|"{
    ""type"": ""Placeholder""
}"
mits in kwelgebied|"{
    ""type"": ""Placeholder""
}"
mits minstens Ã©Ã©n van de volgende plantensoorten aanwezig is: breed wollegras, gele zegge, schubzegge, tweehuizige zegge, veenzegge|"{
    ""type"": ""Placeholder""
}"
mits niet in het kustgebied|"{
    ""type"": ""Placeholder""
}"
mits op vochtige plaatsen in het kustgebied en kruipwilg dominant|"{
    ""type"": ""Placeholder""
}"
mits in het kustgebied en kruipwilg niet dominant|"{
    ""type"": ""Placeholder""
}"
mits in vennen|"{
    ""type"": ""Placeholder""
}"
mits in vennen en niet droogvallend|"{
    ""type"": ""Placeholder""
}"
mits droogvallend en niet in hoogveen|"{
    ""type"": ""Placeholder""
}"
mits in vennen en met alleen wilde inheemse witte waterlelies|"{
    ""type"": ""Placeholder""
}"
mits in herstellend hoogveen en veenmosbedekking > 20%|"{
    ""type"": ""Placeholder""
}"
mits in herstellend hoogveen en veenmosbedekking < 20%|"{
    ""type"": ""Placeholder""
}"
mits in FGR Laagveengebied|"{
    ""type"": ""FGRCriterium"",
    ""fgrtype"": ""Laagveengebied""
}"
mits niet in hoogveen|"{
    ""type"": ""Placeholder""
}"
mits in FGR Hogere zandgronden zonder hoogveen|"{
    ""type"": ""EnCriteria"",
    ""sub_criteria"": [
        {
            ""type"": ""FGRCriterium"",
            ""fgrtype"": ""Hogere Zandgronden""
        },
        {
            ""type"": ""Placeholder""
        }
    ]
}"
mits in het kustgebied en kraaihei aanwezig|"{
    ""type"": ""Placeholder""
}"
mits in het kustgebied en kraaihei afwezig|"{
    ""type"": ""Placeholder""
}"
mits het onderdeel van een hoogveenlandschap is en een acrotelm aanwezig is|"{
    ""type"": ""Placeholder""
}"
mits niet in een hoogveenlandschap en mits een acrotelm aanwezig is of een vergelijkbaar hoogveenvormend proces|"{
    ""type"": ""Placeholder""
}"
mits in zandverstuiving|"{
    ""type"": ""Placeholder""
}"
mits op oeverwallen van rivieren of riviertjes|"{
    ""type"": ""Placeholder""
}"
mits in het kustgebied en niet in mozaÃ¯ek met zelfstandige vegetaties van H2130_A|"{
    ""type"": ""Placeholder""
}"
mits langs rivieren of riviertjes|"{
    ""type"": ""Placeholder""
}"
mits in het kustgebied, op een standplaats als van andere vegetaties van H2130_A|"{
    ""type"": ""Placeholder""
}"
mits in het kustgebied, op een standplaats als van andere vegetaties van H2130_B|"{
    ""type"": ""Placeholder""
}"
mits in het kustgebied en op een standplaats als van andere vegetaties van H2130_B|"{
    ""type"": ""Placeholder""
}"
mits langs rivieren of riviertjes en minstens twee van de volgende kenmerkende typische plantensoorten aanwezig zijn: brede ereprijs, cipreswolfsmelk, handjesgras, kaal breukkruid, kleine ruit, liggende ereprijs, rivierduinzegge, rode bremraap, sikkelklaver, steenanjer, tripmadam, veldsalie, wilde averuit, zacht vetkruid, zandwolfsmelk|"{
    ""type"": ""Placeholder""
}"
mits kruipwilg niet dominant|"{
    ""type"": ""Placeholder""
}"
mits in het kustgebied en op een standplaats als van andere vegetaties van H2130_A en niet in struweel|"{
    ""type"": ""Placeholder""
}"
mits in het kustgebied en op een standplaats als van andere vegetaties van H2130_B en niet in struweel|"{
    ""type"": ""Placeholder""
}"
mits niet voldoend aan de criteria voor H7230|"{
    ""type"": ""Placeholder""
}"
"mits in kwelgebied en niet in het kustgebied en minstens drie van de volgende plantensoorten aanwezig zijn: armbloemige waterbies, bonte paardenstaart, groenknolorchis, grote muggenorchis, knopbies, moeraswespenorchis, parnassia, rechte rus, vleeskleurige orchis, vetblad; echt vetmos, geveerd diknerfmos, goudsikkelmos, groen schorpioenmos, groot staartjesmos, kammos, sterrengoudmos, trilveenveenmos, vierkantsmos, wolfsklauwmos"|"{
    ""type"": ""Placeholder""
}"
mits minstens drie van de volgende plantensoorten aanwezig zijn: blauwe knoop, blauwe zegge, gevlekte orchis, ruw walstro, tormentil, veelbloemige veldbies|"{
    ""type"": ""Placeholder""
}"
mits een vlakvormig, al dan niet nabeweid, hooiland|"{
    ""type"": ""Placeholder""
}"
mits in FGR Heuvelland|"{
    ""type"": ""FGRCriterium"",
    ""fgrtype"": ""Heuvelland""
}"
mits een vlakvormig, al dan niet nabeweid, hooiland en niet in FGR Heuvelland|"{
    ""type"": ""EnCriteria"",
    ""sub_criteria"": [
        {
            ""type"": ""NietCriterium"",
            ""sub_criterium"":
            {
                ""type"": ""FGRCriterium"",
                ""fgrtype"": ""Heuvelland""
            }
        },
        {
            ""type"": ""Placeholder""
        }
    ]
}"
mits niet in mozaÃ¯ek met vegetaties van H7230|"{
    ""type"": ""Placeholder""
}"
mits bochtige smele minder dan 25%|"{
    ""type"": ""Placeholder""
}"
mits in het kustgebied en niet in mozaÃ¯ek met vegetaties van H6230|"{
    ""type"": ""Placeholder""
}"
mits op vaaggronden en niet in het kustgebied en kraaihei niet dominant|"{
    ""type"": ""Placeholder""
}"
mits niet op vaaggronden en niet in het kustgebied en kraaihei niet dominant|"{
    ""type"": ""Placeholder""
}"
mits kraaihei dominant en niet in het kustgebied|"{
    ""type"": ""Placeholder""
}"
mits op vaaggronden en kraaihei niet dominant|"{
    ""type"": ""Placeholder""
}"
mits kraaihei dominant|"{
    ""type"": ""Placeholder""
}"
mits kraaihei niet dominant|"{
    ""type"": ""Placeholder""
}"
mits op een standplaats als van andere vegetaties van H2130_A en kraaihei afwezig|"{
    ""type"": ""Placeholder""
}"
mits op een standplaats als van andere vegetaties van H2130_B en kraaihei afwezig|"{
    ""type"": ""Placeholder""
}"
mits op droge plaatsen in het kustgebied en kraaihei aanwezig|"{
    ""type"": ""Placeholder""
}"
mits op vochtige plaatsen in het kustgebied|"{
    ""type"": ""Placeholder""
}"
mits in de buitenduinen|"{
    ""type"": ""Placeholder""
}"
mits in de buitenduinen en mits niet in mozaÃ¯ek met vegetaties van H2130|"{
    ""type"": ""Placeholder""
}"
mits in het buitendijkse kustgebied|"{
    ""type"": ""Placeholder""
}"
mits in het binnendijkse kustgebied|"{
    ""type"": ""Placeholder""
}"
mits minstens Ã©Ã©n niet-algemene plantensoort van zoom of ruigte aanwezig is|"{
    ""type"": ""Placeholder""
}"
mits de constante typische soort moerasspirea aanwezig is|"{
    ""type"": ""Placeholder""
}"
mits de constante typische soort moerasmelkdistel aanwezig is|"{
    ""type"": ""Placeholder""
}"
mits in FGR Duinen en zachte berk dominant|"{
    ""type"": ""EnCriteria"",
    ""sub_criteria"": [
        {
            ""type"": ""FGRCriterium"",
            ""fgrtype"": ""Duinen""
        },
        {
            ""type"": ""Placeholder""
        }
    ]
}"
mits het struweel minimaal 1 are groot is, met minimaal 10 jeneverbesstruiken die minimaal 30% bedekken|"{
    ""type"": ""Placeholder""
}"
mits in het kustgebied en duindoorn aanwezig|"{
    ""type"": ""Placeholder""
}"
mits op alluviale bodem en onder invloed van beek of rivier|"{
    ""type"": ""Placeholder""
}"
mits in FGR Duinen|"{
    ""type"": ""FGRCriterium"",
    ""fgrtype"": ""Duinen""
}"
mits met veenmosbedekking > 20%|"{
    ""type"": ""Placeholder""
}"
mits buiten H7110_A en H7120|"{
    ""type"": ""Placeholder""
}"
mits niet in FGR Duinen en buiten H7110_A en H7120|"{
    ""type"": ""EnCriteria"",
    ""sub_criteria"": [
        {
            ""type"": ""NietCriterium"",
            ""sub_criterium"":
            {
                ""type"": ""FGRCriterium"",
                ""fgrtype"": ""Duinen""
            }
        },
        {
            ""type"": ""Placeholder""
        }
    ]
}"
mits niet in FGR Duinen en buiten H7120|"{
    ""type"": ""EnCriteria"",
    ""sub_criteria"": [
        {
            ""type"": ""NietCriterium"",
            ""sub_criterium"":
            {
                ""type"": ""FGRCriterium"",
                ""fgrtype"": ""Duinen""
            }
        },
        {
            ""type"": ""Placeholder""
        }
    ]
}"
mits op leemarme humuspodzolgronden, leemarme vaaggronden of podzolgronden met een zanddek en mits onderdeel van een minimaal honderdjarige opstand van zomereik of op een bosgroeiplaats ouder dan 1850 en mits niet in FGR Duinen|"{
    ""type"": ""EnCriteria"",
    ""sub_criteria"": [
        {
            ""type"": ""Placeholder""
        },
        {
            ""type"": ""NietCriterium"",
            ""sub_criterium"":
            {
                ""type"": ""FGRCriterium"",
                ""fgrtype"": ""Duinen""
            }
        }
    ]
}"
mits op moderpodzolgronden, lemige humuspodzolgronden, oude kleigronden of leemgronden en mits op een bosgroeiplaats ouder dan 1850 of in een daaraan grenzende minimaal honderdjarige bosopstand en mits niet in FGR Duinen|"{
    ""type"": ""EnCriteria"",
    ""sub_criteria"": [
        {
            ""type"": ""Placeholder""
        },
        {
            ""type"": ""NietCriterium"",
            ""sub_criterium"":
            {
                ""type"": ""FGRCriterium"",
                ""fgrtype"": ""Duinen""
            }
        }
    ]
}"
mits in FGR Rivierengebied|"{
    ""type"": ""FGRCriterium"",
    ""fgrtype"": ""Rivierengebied""
}"
mits in FGR Duinen, op een standplaats als van andere vegetaties van H2180_A|"{
    ""type"": ""EnCriteria"",
    ""sub_criteria"": [
        {
            ""type"": ""FGRCriterium"",
            ""fgrtype"": ""Duinen""
        },
        {
            ""type"": ""Placeholder""
        }
    ]
}"
mits in FGR Duinen, in vochtige of te vernatten valleien|"{
    ""type"": ""EnCriteria"",
    ""sub_criteria"": [
        {
            ""type"": ""FGRCriterium"",
            ""fgrtype"": ""Duinen""
        },
        {
            ""type"": ""Placeholder""
        }
    ]
}"
mits in FGR Duinen, op een standplaats als van andere vegetaties van H2180_C|"{
    ""type"": ""EnCriteria"",
    ""sub_criteria"": [
        {
            ""type"": ""FGRCriterium"",
            ""fgrtype"": ""Duinen""
        },
        {
            ""type"": ""Placeholder""
        }
    ]
}"
mits in FGR Hogere zandgronden|"{
    ""type"": ""FGRCriterium"",
    ""fgrtype"": ""Hogere Zandgronden""
}"
mits op moderpodzolgronden, lemige humuspodzolgronden, oude kleigronden of leemgronden zonder hydromorfe kenmerken en mits op een bosgroeiplaats ouder dan 1850 of in een daaraan grenzende minimaal honderdjarige bosopstand en mits niet in FGR Heuvelland of FGR Duinen|"{
    ""type"": ""EnCriteria"",
    ""sub_criteria"": [
        {
            ""type"": ""Placeholder""
        },
        {
            ""type"": ""NietCriterium"",
            ""sub_criterium"":
            {
                ""type"": ""OfCriteria"",
                ""sub_criteria"": [
                    {
                        ""type"": ""FGRCriterium"",
                        ""fgrtype"": ""Heuvelland""
                    },
                    {
                        ""type"": ""FGRCriterium"",
                        ""fgrtype"": ""Duinen""
                    }
                ]
            }
        }
    ]
}"
mits op hydromorfe bodems in FGR Hogere zandgronden|"{
    ""type"": ""EnCriteria"",
    ""sub_criteria"": [
        {
            ""type"": ""Placeholder""
        },
        {
            ""type"": ""FGRCriterium"",
            ""fgrtype"": ""Hogere Zandgronden""
        }
    ]
}"
mits in vennen en niet in kwelgebied en niet in mozaÃ¯ek met vegetaties van H3130|"{
    ""type"": ""Placeholder""
}"
mits in kwelgebied en niet in vennen|"{
    ""type"": ""Placeholder""
}"
mits in vochtige duinvalleien en niet droogvallend|"{
    ""type"": ""Placeholder""
}"
mits in het kustgebied en droogvallend|"{
    ""type"": ""Placeholder""
}"
alleen in mozaÃ¯ek met zelfstandige vegetaties van H7140_A|"{
    ""type"": ""Placeholder""
}"
mits droogvallend|"{
    ""type"": ""Placeholder""
}"
